timestamp,open,high,low,close,volume
2025-01-01 00:00:00,2000.00,2000.75,1997.90,1998.65,4292.64
2025-01-01 01:00:00,1998.65,1998.93,1997.62,1997.90,8419.36
2025-01-01 02:00:00,1997.90,1998.96,1994.88,1995.95,9295.54
2025-01-01 03:00:00,1995.95,1998.57,1991.68,1994.31,2844.51
2025-01-01 04:00:00,1994.31,1995.96,1990.84,1992.49,1983.60
2025-01-01 05:00:00,1992.49,1993.98,1991.67,1993.16,1588.09
2025-01-01 06:00:00,1993.16,1993.95,1991.95,1992.74,4632.29
2025-01-01 07:00:00,1992.74,1995.15,1991.21,1993.62,6973.74
2025-01-01 08:00:00,1993.62,1995.69,1992.57,1994.64,5148.40
2025-01-01 09:00:00,1994.64,1997.66,1994.22,1997.24,3823.55
2025-01-01 10:00:00,1997.24,1999.10,1994.18,1996.04,5114.42
2025-01-01 11:00:00,1996.04,1996.64,1995.37,1995.97,1605.70
2025-01-01 12:00:00,1995.97,1996.17,1993.73,1993.93,6195.68
2025-01-01 13:00:00,1993.93,1995.68,1993.68,1995.43,6876.30
2025-01-01 14:00:00,1995.43,1996.35,1992.88,1993.81,6714.98
2025-01-01 15:00:00,1993.81,1994.92,1993.11,1994.23,5070.95
2025-01-01 16:00:00,1994.23,1997.38,1993.42,1996.57,3828.55
2025-01-01 17:00:00,1996.57,1998.36,1995.38,1997.17,4889.52
2025-01-01 18:00:00,1997.17,1998.77,1996.07,1997.67,7983.97
2025-01-01 19:00:00,1997.67,1998.11,1995.21,1995.65,8635.87
2025-01-01 20:00:00,1995.65,1998.97,1993.28,1996.59,5761.68
2025-01-01 21:00:00,1996.59,1996.87,1993.79,1994.06,1453.91
2025-01-01 22:00:00,1994.06,1994.11,1991.59,1991.64,5096.67
2025-01-01 23:00:00,1991.64,1994.80,1990.67,1993.84,5388.29
2025-01-02 00:00:00,1993.84,1995.34,1992.38,1993.89,4173.48
2025-01-02 01:00:00,1993.89,1994.31,1991.68,1992.09,3315.59
2025-01-02 02:00:00,1992.09,1993.03,1991.90,1992.84,1530.10
2025-01-02 03:00:00,1992.84,1995.66,1991.38,1994.20,2726.79
2025-01-02 04:00:00,1994.20,1997.43,1993.70,1996.93,8898.25
2025-01-02 05:00:00,1996.93,1997.25,1995.14,1995.46,6457.54
2025-01-02 06:00:00,1995.46,1999.44,1994.05,1998.03,4869.50
2025-01-02 07:00:00,1998.03,1998.55,1997.47,1998.00,6705.28
