timestamp,open,high,low,close,volume
2024-01-01 00:00:00,100.0468,100.1132,100.0345,100.0468,5965
2024-01-01 01:00:00,100.3938,100.6093,100.3579,100.5216,2313
2024-01-01 02:00:00,100.3096,100.4672,100.3084,100.3121,10127
2024-01-01 03:00:00,100.7815,100.8761,100.7424,100.7914,1566
2024-01-01 04:00:00,100.8495,100.8984,100.8066,100.8856,10296
2024-01-01 05:00:00,100.7339,100.8747,100.7187,100.8254,6529
2024-01-01 06:00:00,101.0574,101.1772,100.9804,101.0162,10280
2024-01-01 07:00:00,101.0212,101.1205,100.9013,100.9418,8511
2024-01-01 08:00:00,100.6473,100.7297,100.6073,100.6771,2962
2024-01-01 09:00:00,100.6439,100.7232,100.5314,100.7165,7855
2024-01-01 10:00:00,100.4414,100.4609,100.3889,100.4444,8598
2024-01-01 11:00:00,100.6607,100.6676,100.5862,100.6554,4916
2024-01-01 12:00:00,100.5908,100.6488,100.4888,100.6307,6289
2024-01-01 13:00:00,100.4314,100.4376,100.3967,100.4262,1804
2024-01-01 14:00:00,100.1457,100.5551,100.135,100.1803,1875
2024-01-01 15:00:00,100.61,100.7317,100.4841,100.7088,10204
2024-01-01 16:00:00,100.9772,101.0243,100.6301,100.8762,4444
2024-01-01 17:00:00,101.038,101.1389,100.9661,101.1187,3179
2024-01-01 18:00:00,100.844,100.8572,100.7847,100.8471,9918
2024-01-01 19:00:00,100.4178,100.489,100.3507,100.4465,2236
2024-01-01 20:00:00,100.3337,100.4801,100.2501,100.4736,2374
2024-01-01 21:00:00,100.3668,100.4857,100.3157,100.3641,1772
2024-01-01 22:00:00,100.5201,100.7483,100.4814,100.612,6905
2024-01-01 23:00:00,100.4808,100.7942,100.4532,100.5792,10714
2024-01-02 00:00:00,100.6597,100.6864,100.5409,100.657,5447
2024-01-02 01:00:00,100.5185,100.7737,100.5142,100.6471,9863
2024-01-02 02:00:00,100.4308,100.4508,100.4093,100.4441,3298
2024-01-02 03:00:00,100.6526,100.6609,100.5498,100.6473,1461
2024-01-02 04:00:00,100.7593,100.9038,100.7132,100.7309,7029
2024-01-02 05:00:00,101.4626,101.5325,101.4267,101.4636,5370
2024-01-02 06:00:00,101.6482,101.7936,101.6469,101.6617,1275
2024-01-02 07:00:00,101.7931,101.9099,101.6982,101.9087,11425
2024-01-02 08:00:00,101.9143,101.9363,101.8501,101.9123,5745
2024-01-02 09:00:00,101.6274,101.6925,101.5895,101.6168,10161
2024-01-02 10:00:00,101.6423,101.6981,101.5995,101.634,8714
2024-01-02 11:00:00,101.7899,101.8306,101.6841,101.7252,5667
2024-01-02 12:00:00,101.687,101.7074,101.6263,101.7036,4421
